Keyword,Volume FR/mois,KD,Competition,Intent,Probabilite intent,Trend trimestriel,Note
ottokit,110,16,LOW,transactional,0.60,+29%,Seed principal FR - cible position top 3
suretriggers,40,15,LOW,informational,n/a,-50%,Marque morte (-89% sur l'annee) - pivot total vers OttoKit
ottokit gratuit vs pro,n/a,n/a,n/a,commercial,0.79,n/a,Focus keyword article - pas de volume mesurable (longtail commercial)
ottokit free vs pro,n/a,n/a,n/a,commercial,0.85,n/a,Variante EN du focus keyword
ottokit avis,n/a,n/a,n/a,informational,0.71,n/a,Opportunite cluster avec l'article avis OttoKit
ottokit pro,n/a,n/a,n/a,commercial,0.66,n/a,GSC : 2 impressions position 4.0
ottokit prix,n/a,n/a,n/a,commercial,0.80,n/a,Longtail commercial - couvrir dans le H2 prix
ottokit pricing,10,n/a,n/a,commercial,n/a,n/a,Longtail anglais residuel
ottokit wordpress,10,n/a,n/a,navigational,n/a,-100%,Longtail declinant
automatisation wordpress,n/a,n/a,n/a,n/a,n/a,n/a,Terme generique - pas de donnees keyword overview FR
