keyword,rank_group,rank_absolute,type,search_volume,cpc,competition_level,kw_difficulty,intent,ranked_url,ranked_title,etv,estimated_paid_traffic_cost,last_updated
local wp,9,12,organic,880,4.71,LOW,13,navigational,https://schoolswp.com/de/local-wp-meinung/,Local by Flywheel vs. Xampp: WordPress lokal installieren,,,2026-04-11 16:45:45 +00:00
zipwp,3,5,organic,590,3.95,MEDIUM,,informational,https://schoolswp.com/de/zipwp-wordpress-seiten-erstellung-mit-ki/,ZipWP: Erstellen Sie eine WordPress-Website in Rekordzeit ...,,,2026-04-08 21:53:35 +00:00
crocoblock,9,12,organic,480,0.37,LOW,13,transactional,https://schoolswp.com/de/crocoblock-erfahrungsbericht/,Crocoblock: Der ultimative Werkzeugkasten für WordPress ...,,,2026-04-13 23:04:34 +00:00
wp umbrella,4,5,organic,390,6.65,LOW,6,transactional,https://schoolswp.com/de/wp-umbrella-meinung/,WP Umbrella: Verwalten Sie Ihre WordPress-Websites ganz ...,,,2026-04-11 19:30:00 +00:00
a tutor lms,5,7,organic,390,2.6,MEDIUM,40,navigational,https://schoolswp.com/de/tutor-lms-meinungen/,Tutor LMS Bewertungen 2026: Das beste WordPress LMS?,,,2026-04-08 18:58:30 +00:00
buddyboss,5,7,organic,390,0.8,MEDIUM,25,informational,https://schoolswp.com/de/buddyboss-meinung/,BuddyBoss für WordPress: Community & Kurse einfach starten,,,2026-04-11 06:30:32 +00:00
tutor lms,7,9,organic,390,1.84,MEDIUM,24,navigational,https://schoolswp.com/de/tutor-lms-meinungen/,Tutor LMS Bewertungen 2026: Das beste WordPress LMS?,,,2026-05-19 20:01:10 +00:00
fluentcrm,5,7,organic,320,1.02,LOW,12,commercial,https://schoolswp.com/de/ist-fluentcrm-das-beste-wordpress-crm/,FluentCRM WordPress 2026 – E-Mail & Automatisierung,,,2026-04-15 07:41:26 +00:00
surecart,9,12,organic,210,2.52,LOW,8,navigational,https://schoolswp.com/de/surecart-das-plugin-das-mit-woocommerce-konkurriert/,SureCart: Das ideale E-Commerce-Plugin für digitale Produkte,,,2026-04-10 22:05:26 +00:00
amelia wordpress,6,8,organic,170,4.04,LOW,7,navigational,https://schoolswp.com/de/reservierungen-wordpress/amelia-wp-booking-de/,Amelia: Buchungen & Events in WordPress managen,,,2026-04-16 05:08:46 +00:00
wp zip,2,3,organic,140,4.19,MEDIUM,15,informational,https://schoolswp.com/de/zipwp-wordpress-seiten-erstellung-mit-ki/,ZipWP: Erstellen Sie eine WordPress-Website in Rekordzeit ...,,,2026-04-13 20:17:30 +00:00
zip wp,2,4,organic,140,4.19,MEDIUM,5,informational,https://schoolswp.com/de/zipwp-wordpress-seiten-erstellung-mit-ki/,ZipWP: Erstellen Sie eine WordPress-Website in Rekordzeit ...,,,2026-04-19 18:56:45 +00:00
link whisper,5,8,organic,140,3.81,LOW,1,informational,https://schoolswp.com/de/link-whisper-erfahrungsbericht/,Link Whisper Bewertungen 2026: Unumgängliches SEO-Tool?,,,2026-04-10 23:15:50 +00:00
amelia booking,9,13,organic,140,2.69,MEDIUM,35,navigational,https://schoolswp.com/de/reservierungen-wordpress/amelia-wp-booking-de/,Amelia: Buchungen & Events in WordPress managen,,,2026-04-11 23:30:55 +00:00
amelia bookings,14,17,organic,140,2.69,MEDIUM,16,navigational,https://schoolswp.com/en/amelia-wp-review/,Amelia WP Review 2026: The Best WordPress Booking Plugin?,,,2026-04-08 06:28:28 +00:00
local wordpress,15,18,organic,140,1.67,LOW,5,navigational,https://schoolswp.com/de/local-wp-meinung/,Local by Flywheel vs. Xampp: WordPress lokal installieren,,,2026-04-10 00:14:52 +00:00
translate wordpress plugin,23,26,organic,140,7.14,MEDIUM,69,transactional,https://schoolswp.com/en/wordpress-translation-plugin/,WordPress Translation Plugin: Top 10 for Globalizing your ...,,,2026-04-14 10:16:38 +00:00
translation plugin wordpress,24,26,organic,140,7.14,MEDIUM,65,commercial,https://schoolswp.com/en/wordpress-translation-plugin/,WordPress Translation Plugin: Top 10 for Globalizing your ...,,,2026-04-19 18:39:35 +00:00
wordpress plugins for translation,24,29,organic,140,7.14,MEDIUM,69,commercial,https://schoolswp.com/en/wordpress-translation-plugin/,WordPress Translation Plugin: Top 10 for Globalizing your ...,,,2026-04-13 10:41:37 +00:00
wordpress translation plugin,30,33,organic,140,7.14,MEDIUM,57,commercial,https://schoolswp.com/en/wordpress-translation-plugin/,WordPress Translation Plugin: Top 10 for Globalizing your ...,,,2026-04-16 15:59:13 +00:00
gutenberg editor wordpress,54,62,organic,140,1.4,LOW,33,navigational,https://schoolswp.com/de/gutenberg/,"Entdecken Sie Gutenberg: Der WordPress-Editor, der Ihre ...",,,2026-04-16 07:18:08 +00:00
o2switch,2,2,organic,110,1.13,LOW,27,transactional,https://schoolswp.com/de/o2switch-meinungen/,o2switch Meinungen 2026: Webhosting aus Frankreich top?,,,2026-04-18 10:47:12 +00:00
wp local,7,10,organic,110,4.04,LOW,14,navigational,https://schoolswp.com/de/local-wp-meinung/,Local by Flywheel vs. Xampp: WordPress lokal installieren,,,2026-04-15 08:35:34 +00:00
bit flows,9,12,organic,110,11.16,LOW,6,informational,https://schoolswp.com/en/bit-flows-review/,Bit Flows Review 2026: WordPress automation without limits,,,2026-04-09 04:51:37 +00:00
fluent community,9,11,organic,110,13.03,LOW,21,navigational,https://schoolswp.com/de/fluentcommunity-bewertung/,Erstelle deine WordPress-Community mit FluentCommunity .,,,2026-04-18 15:48:43 +00:00
amelia plugin,13,16,organic,110,1.35,MEDIUM,14,transactional,https://schoolswp.com/de/reservierungen-wordpress/amelia-wp-booking-de/,Amelia: Buchungen & Events in WordPress managen,,,2026-04-13 12:31:37 +00:00
wordpress local,38,43,organic,110,9.86,MEDIUM,3,navigational,https://schoolswp.com/de/local-wp-meinung/,Local by Flywheel vs. Xampp: WordPress lokal installieren,,,2026-04-19 18:36:44 +00:00
latepoint,3,4,organic,90,12.57,LOW,16,informational,https://schoolswp.com/de/latepoint-meinung/,LatePoint: Intuitives & schnelles WordPress-Buchungs-Plugin!,,,2026-04-12 14:15:41 +00:00
fluentcart,4,6,organic,90,,LOW,3,navigational,https://schoolswp.com/de/fluentcart-meinung/,FluentCart Erfahrung: E-Commerce ohne WooCommerce?,,,2026-04-13 06:38:51 +00:00
wordpress datenbanken,45,52,organic,90,3.31,LOW,,informational,https://schoolswp.com/de/wordpress-datenbank-reinigen/,WordPress-Datenbank bereinigen Complete Guide + Plugins,,,2026-04-19 10:44:57 +00:00
datenbank für wordpress,74,83,organic,90,6.14,MEDIUM,,informational,https://schoolswp.com/de/wordpress-datenbank-reinigen/,WordPress-Datenbank bereinigen Complete Guide + Plugins,,,2026-05-20 07:14:57 +00:00
sureforms,3,5,organic,70,,LOW,11,informational,https://schoolswp.com/en/sureforms-wordpress-plugin/,SureForms : AI-Powered WordPress Forms Plugin - schoolsWP,,,2026-04-14 16:33:27 +00:00
wp amelia,5,7,organic,70,0.88,MEDIUM,15,informational,https://schoolswp.com/de/reservierungen-wordpress/amelia-wp-booking-de/,Amelia: Buchungen & Events in WordPress managen,,,2026-04-15 08:04:57 +00:00
wordpress academy,6,9,organic,70,2.69,MEDIUM,38,commercial,https://schoolswp.com/de/academy-lms-meinung/,Academy LMS : Alles über das WordPress-Plugin LMS,,,2026-04-15 14:44:59 +00:00
