keyword,rank_group,rank_absolute,type,search_volume,cpc,competition_level,kw_difficulty,intent,ranked_url,ranked_title,etv,estimated_paid_traffic_cost,last_updated
5 euros,4,5,organic,4400,5.13,LOW,,informational,https://schoolswp.com/ce-quil-faut-savoir-sur-la-plateforme-5euros-com/,5euros.com avis 2026 : tout savoir (devenue ComeUp),,,2026-04-18 06:48:42 +00:00
5 euro,7,9,organic,4400,5.13,LOW,,informational,https://schoolswp.com/ce-quil-faut-savoir-sur-la-plateforme-5euros-com/,5euros.com avis 2026 : tout savoir (devenue ComeUp),,,2026-04-19 04:06:24 +00:00
5euros,7,9,organic,2400,4.48,LOW,,informational,https://schoolswp.com/ce-quil-faut-savoir-sur-la-plateforme-5euros-com/,Ce qu'il faut savoir sur la plateforme 5euros.com - schoolsWP,,,2026-04-12 00:57:35 +00:00
5€,4,6,organic,1900,0.4,LOW,,informational,https://schoolswp.com/ce-quil-faut-savoir-sur-la-plateforme-5euros-com/,Ce qu'il faut savoir sur la plateforme 5euros.com - schoolsWP,,,2026-04-13 00:11:21 +00:00
linksgarden,7,8,organic,1000,7.3,LOW,,navigational,https://schoolswp.com/linksgarden-avis/,Linksgarden avis 2026 : 8.5/10 après test complet - schoolsWP,,,2026-04-12 09:36:42 +00:00
chatseo,8,8,organic,880,5.53,LOW,,navigational,https://schoolswp.com/avis-chatseo-test-complet/,Avis ChatSEO : +35% trafic en 3 mois ? Test GSC IA,,,2026-05-19 18:43:00 +00:00
kadence,5,9,organic,720,1.84,LOW,22,informational,https://schoolswp.com/mon-avis-sur-kadence-wp/,Kadence WP : Thème WordPress rapide et flexible pour 2026,,,2026-04-18 19:22:48 +00:00
zipwp,7,9,organic,720,3.51,MEDIUM,2,informational,https://schoolswp.com/zipwp-revolution-creation-site-wordpress-ia/,ZipWP : créez un site WordPress IA en 1 minute - schoolsWP,,,2026-04-13 00:42:21 +00:00
learndash,4,6,organic,590,0.63,MEDIUM,11,navigational,https://schoolswp.com/learndash-avis/,LearnDash Avis 2026 Le plugin WordPress LMS à connaître !,,,2026-05-20 05:53:16 +00:00
crocoblock,6,8,organic,590,0.49,LOW,1,transactional,https://schoolswp.com/crocoblock-avis/,Crocoblock : La boîte à outils ultime pour sites WordPress,,,2026-04-19 19:20:46 +00:00
divi pixel,4,7,organic,480,1,LOW,9,informational,https://schoolswp.com/ce-que-je-pense-de-divi-pixel/,Ce que je pense de Divi Pixel - schoolsWP,,,2026-04-13 07:30:38 +00:00
link whisper,5,7,organic,480,2.94,LOW,7,informational,https://schoolswp.com/link-whisper-avis/,Link Whisper Avis 2026 : Outil SEO incontournable ?,,,2026-04-13 14:25:17 +00:00
buddyboss,3,5,organic,390,1.23,LOW,15,informational,https://schoolswp.com/tout-ce-que-vous-devez-savoir-sur-buddyboss/,BuddyBoss : Créez Votre Communauté en Ligne Facilement,,,2026-04-13 19:08:33 +00:00
all in one seo,5,6,organic,390,1.46,LOW,13,commercial,https://schoolswp.com/aioseo-le-plugin-all-in-one-seo-ultime-pour-wordpress/,AIOSEO : Le Plugin All in One SEO Ultime pour WordPress,,,2026-04-16 10:21:23 +00:00
fluent forms,7,10,organic,390,2.11,LOW,17,informational,https://schoolswp.com/fluent-forms-meilleur-plugin-formulaires-wordpress/,Fluent Forms : Le Plugin WordPress Idéal pour Vos Formulaires,,,2026-04-12 02:51:54 +00:00
come up avis,8,9,organic,390,1.13,LOW,,informational,https://schoolswp.com/comeup-avis/,ComeUp avis 2026 : plateforme freelance fiable ? - schoolsWP,,,2026-04-16 14:16:29 +00:00
