Plugin,Category,Tool,Title,Description,ReadOnly,Idempotent,Required
FluentCRM,contact,fluentcrm_contact_list,List Contacts,"List CRM contacts (subscribers) with optional filtering by status, tags, lists, and search. Supports pagination.",Yes,Yes,
FluentCRM,contact,fluentcrm_contact_get,Get Contact,"Get detailed information about a single contact including their tags, lists, custom fields, and activity history.",Yes,Yes,id
FluentCRM,contact,fluentcrm_contact_get_by_email,Get Contact by Email,Look up a contact by their email address. Returns the full contact record if found.,Yes,Yes,email
FluentCRM,contact,fluentcrm_contact_create,Create Contact,Create a new CRM contact. Email is required. You can assign tags and lists at creation time.,No,No,email
FluentCRM,contact,fluentcrm_contact_update,Update Contact,Update an existing contact. Pass only the fields you want to change. Does not modify tags or lists (use dedicated tag/list tools).,No,Yes,id
FluentCRM,contact,fluentcrm_contact_delete,Delete Contact,"Permanently delete a contact from the CRM. This removes all associated data including tags, lists, and activity history.",No,No,id
FluentCRM,contact,fluentcrm_contact_add_tags,Add Tags to Contact,Add one or more tags to a contact. Existing tags are preserved.,No,No,"id, tag_ids"
FluentCRM,contact,fluentcrm_contact_remove_tags,Remove Tags from Contact,Remove one or more tags from a contact.,No,No,"id, tag_ids"
FluentCRM,tag,fluentcrm_tag_list,List Tags,List all CRM tags. Tags are used to categorize and segment contacts for targeted campaigns and automations.,Yes,Yes,
FluentCRM,tag,fluentcrm_tag_create,Create Tag,Create a new CRM tag for categorizing contacts.,No,No,title
FluentCRM,tag,fluentcrm_tag_update,Update Tag,"Update an existing tag name, slug, or description.",No,Yes,id
FluentCRM,tag,fluentcrm_tag_delete,Delete Tag,"Permanently delete a tag. Contacts that had this tag will have it removed, but the contacts themselves are not deleted.",No,No,id
FluentCRM,tag,fluentcrm_tag_attach_to_contact,Attach Tag to Contact,Attach a tag to one or more contacts by their subscriber IDs. This is an alternative to fluentcrm_contact_add_tags when you want to work from the tag perspective.,No,No,"tag_id, subscriber_ids"
FluentCRM,list,fluentcrm_list_list,List Lists,List all CRM lists (mailing lists). Lists are used to organize contacts into groups for campaigns and segmentation.,Yes,Yes,
FluentCRM,list,fluentcrm_list_create,Create List,Create a new mailing list for organizing contacts.,No,No,title
FluentCRM,list,fluentcrm_list_update,Update List,"Update an existing list name, slug, or description.",No,Yes,id
FluentCRM,list,fluentcrm_list_delete,Delete List,"Permanently delete a list. Contacts in this list are not deleted, but their association with this list is removed.",No,No,id
FluentCRM,list,fluentcrm_list_attach_contact,Add Contact to List,Add one or more contacts to a mailing list by their subscriber IDs.,No,No,"list_id, subscriber_ids"
FluentCRM,campaign,fluentcrm_campaign_list,List Campaigns,List email campaigns with optional filtering by status. Returns campaign summaries including send stats.,Yes,Yes,
FluentCRM,campaign,fluentcrm_campaign_get,Get Campaign,"Get detailed information about a single campaign including its settings, recipients, email body, and performance stats.",Yes,Yes,id
FluentCRM,campaign,fluentcrm_campaign_create,Create Campaign,"Create a new email campaign in draft status. You can specify the subject, body, recipients (by tags/lists), and template.",No,No,title
FluentCRM,campaign,fluentcrm_campaign_schedule,Schedule Campaign,"Schedule a draft campaign for sending. You must specify the recipients (by tags/lists) and optionally a send date. If no date is given, the campaign will be sent immediately.",No,No,id
FluentCRM,campaign,fluentcrm_campaign_pause,Pause Campaign,Pause a currently sending (working) campaign. Can be resumed later.,No,Yes,id
FluentCRM,campaign,fluentcrm_campaign_resume,Resume Campaign,Resume a paused campaign to continue sending.,No,Yes,id
FluentCRM,template,fluentcrm_template_list,List Templates,List all email templates. Templates provide reusable email layouts and designs for campaigns.,Yes,Yes,
FluentCRM,template,fluentcrm_template_get,Get Template,Get detailed information about a specific email template including its HTML body and design settings.,Yes,Yes,id
FluentCRM,template,fluentcrm_template_create,Create Template,Create a new email template with HTML content. Templates can be used across multiple campaigns.,No,No,"post_title, post_content"
FluentCRM,sequence,fluentcrm_sequence_list,List Sequences,List all email sequences (Pro). Sequences are automated multi-step email drip campaigns sent on a schedule.,Yes,Yes,
FluentCRM,sequence,fluentcrm_sequence_get,Get Sequence,"Get detailed information about a specific sequence including its emails, delays, and subscriber count.",Yes,Yes,id
FluentCRM,sequence,fluentcrm_sequence_add_subscriber,Add Subscriber to Sequence,Add one or more contacts to a sequence. They will start receiving the sequence emails from the beginning.,No,No,"sequence_id, subscriber_ids"
FluentCRM,sequence,fluentcrm_sequence_remove_subscriber,Remove Subscriber from Sequence,Remove one or more contacts from a sequence. They will stop receiving further emails.,No,No,"sequence_id, subscriber_ids"
FluentCRM,funnel,fluentcrm_funnel_list,List Automations/Funnels,"List all automation funnels. Funnels are multi-step workflows triggered by events (signup, tag added, purchase, etc.).",Yes,Yes,
FluentCRM,funnel,fluentcrm_funnel_get,Get Automation/Funnel,"Get detailed information about a specific funnel including all its steps, triggers, and subscriber metrics.",Yes,Yes,id
FluentCRM,funnel,fluentcrm_funnel_create,Create Automation/Funnel,"Create a new automation funnel. Funnels start in draft status. Add triggers and actions, then publish to activate.",No,No,title
FluentCRM,funnel,fluentcrm_funnel_trigger,Trigger Funnel for Contact,Manually trigger a funnel for a specific contact via the webhook endpoint. The contact will enter the funnel as if the trigger event had occurred.,No,No,"funnel_id, email"
FluentCRM,report,fluentcrm_report_dashboard,Get Dashboard Stats,"Get CRM dashboard statistics: total contacts, active subscribers, unsubscribed, emails sent, open rate, click rate, and more.",Yes,Yes,
FluentCRM,report,fluentcrm_report_subscribers_growth,Get Subscribers Growth,Get subscriber growth trends over time. Shows new subscribers per day/week/month in the given date range.,Yes,Yes,
FluentCRM,report,fluentcrm_report_campaign_stats,Get Campaign Stats,"Get aggregated campaign performance statistics: emails sent, opens, clicks, unsubscribes, bounces, and revenue attribution.",Yes,Yes,
FluentCRM,webhook,fluentcrm_webhook_list,List Webhooks,List all configured incoming webhooks. Webhooks allow external systems to create or update contacts and trigger automations in FluentCRM.,Yes,Yes,
FluentCRM,webhook,fluentcrm_webhook_create,Create Webhook,"Create a new incoming webhook endpoint. The webhook URL can be used by external systems to push data into FluentCRM (contacts, tags, lists, funnels).",No,No,name
Fluent Support,ticket,fluentsupport_ticket_list,List Tickets,"List support tickets with optional filtering by status, priority, agent, customer, and product. Supports pagination and search.",Yes,Yes,
Fluent Support,ticket,fluentsupport_ticket_get,Get Ticket,"Get detailed information about a single support ticket including its current status, priority, assigned agent, customer, tags, and conversation history.",Yes,Yes,ticket_id
Fluent Support,ticket,fluentsupport_ticket_create,Create Ticket,"Create a new support ticket. Requires a title, email (customer email), and content. Optionally assign an agent, priority, and product.",No,No,"title, content, email"
Fluent Support,ticket,fluentsupport_ticket_update,Update Ticket,"Update ticket properties such as priority, agent assignment, product, or status. Pass only the fields you want to change.",No,Yes,ticket_id
Fluent Support,ticket,fluentsupport_ticket_reply,Reply to Ticket,Add a response/reply to a ticket. The content supports HTML. You can add internal notes by setting is_internal to true.,No,No,"ticket_id, content"
Fluent Support,ticket,fluentsupport_ticket_close,Close Ticket,"Close an open ticket. Changes the ticket status to ""closed"".",No,Yes,ticket_id
Fluent Support,ticket,fluentsupport_ticket_reopen,Reopen Ticket,"Reopen a closed ticket. Changes the ticket status back to ""active"".",No,Yes,ticket_id
Fluent Support,ticket,fluentsupport_ticket_delete,Delete Ticket,Permanently delete a ticket. This action cannot be undone. All responses and attachments will also be deleted.,No,No,ticket_id
Fluent Support,ticket,fluentsupport_ticket_bulk_actions,Bulk Ticket Actions,"Perform bulk operations on multiple tickets. Supported actions: close, reopen, delete, assign_agent, change_priority.",No,No,"action, ticket_ids"
Fluent Support,ticket,fluentsupport_ticket_responses,List Ticket Responses,Get all responses/replies for a specific ticket. Returns the full conversation thread including internal notes.,Yes,Yes,ticket_id
Fluent Support,ticket,fluentsupport_ticket_add_tag,Add Tag to Ticket,Add one or more tags to a ticket.,No,No,"ticket_id, tag_ids"
Fluent Support,ticket,fluentsupport_ticket_remove_tag,Remove Tag from Ticket,Remove a tag from a ticket.,No,No,"ticket_id, tag_id"
Fluent Support,customer,fluentsupport_customer_list,List Customers,List support customers with optional search and pagination. Customers are the people who submit tickets.,Yes,Yes,
Fluent Support,customer,fluentsupport_customer_get,Get Customer,"Get detailed customer information including their support history, ticket count, and profile data.",Yes,Yes,customer_id
Fluent Support,customer,fluentsupport_customer_create,Create Customer,Create a new support customer. Email is required and must be unique. The customer can then submit tickets.,No,No,email
Fluent Support,customer,fluentsupport_customer_update,Update Customer,Update customer profile fields. Fetches current state first to ensure required fields are preserved.,No,Yes,customer_id
Fluent Support,customer,fluentsupport_customer_delete,Delete Customer,"Permanently delete a customer. This will NOT delete their tickets, but will disassociate them.",No,No,customer_id
Fluent Support,customer,fluentsupport_customer_tickets,Get Customer Tickets,List all tickets submitted by a specific customer. Useful for viewing support history.,Yes,Yes,customer_id
Fluent Support,agent,fluentsupport_agent_list,List Agents,List all support agents/staff members. Agents handle ticket responses and manage the helpdesk.,Yes,Yes,
Fluent Support,agent,fluentsupport_agent_get,Get Agent,Get detailed information about a specific agent including their stats and settings.,Yes,Yes,agent_id
Fluent Support,agent,fluentsupport_agent_create,Create Agent,Create a new support agent. The user_id must correspond to an existing WordPress user.,No,No,user_id
