Fonctionnalité,Gratuit,Pro,Verdict
Tarif,Gratuit à vie,"95,88 $/an (7,99 $/mois)",Le gratuit suffit pour se lancer
Sites autorisés,Illimités,Illimités (sites perso),"Aucune limite, même sans payer"
Générateur de Schema,"Oui, types courants","Oui, types avancés et modèles",Le gratuit couvre déjà l'essentiel
Focus keywords par page,Jusqu'à 5,Illimités,"5 mots-clés, large pour un blog"
Suivi de positions (Rank Tracker),Données Search Console,500 mots-clés suivis,Pro pour un suivi dédié
Redirections et moniteur 404,Oui,Oui,"Inclus en gratuit, rare ailleurs"
Sitemap XML automatique,Oui,Oui,"Standard, gratuit compris"
Content AI (assistant IA),Essai limité,Crédits inclus (essai 30 jours),Pro pour un usage régulier
WooCommerce et SEO local,Basique,"Complet, multi-établissements",Pro pour une boutique ou un commerce
Support,Communauté et forum,Prioritaire 24/7,Pro pour la réactivité
