Critère,Masteriyo,Tutor LMS 3.0+,LearnDash,LearnPress,LifterLMS,Sensei
Version gratuite utilisable,Oui (généreuse),Oui (riche),Non,Oui (basique),Limitée,Oui
Course builder fluide,Oui (SPA React),Oui (Gutenberg),Oui,Oui,Oui,Oui
Paiement sans WooCommerce,Oui,Oui (3.0+ natif),Non,Add-on,Oui,Non
Subscriptions natives,Plan Growth,Oui (3.0+),Oui,Add-on,Oui,Via WooCommerce
Course bundle natif,Plan Pro,Oui (3.0+),Oui,Add-on,Oui,Via WooCommerce
Marketplace multi-formateurs,Limité,Oui,Oui (add-on),Add-on,Limité,Limité
Content Bank,Non,Oui,Non,Non,Non,Non
Écosystème plugins,Moyen,Large,Large,Large,Moyen,WooCommerce
Courbe d'apprentissage,Très douce,Douce,Moyenne,Douce,Moyenne,Moyenne
Tarif d'entrée Pro,99 $/an env.,199 $/an env.,199 $/an,Add-ons,199 $/an,149 $/an
